strike,vol
125.0,0.8804867298126221
130.0,0.8804867298126221
135.0,0.857049464187622
140.0,0.849237042312622
145.0,0.853143253250122
150.0,0.8062687220001221
160.0,0.7476755579376221
165.0,0.7320507141876221
175.0,0.6929886048126223
180.0,0.6929886048126223
185.0,0.6773637610626222
190.0,0.6578327063751221
195.0,0.6539264954376222
200.0,0.6265830188751222
210.0,0.6070519641876221
215.0,0.6090050696563721
220.0,0.5953333313751221
225.0,0.5797084876251222
230.0,0.5718960657501222
235.0,0.5640836438751222
240.0,0.5543181165313721
245.0,0.5445525891876221
250.0,0.5386932727813721
255.0,0.5328339563751221
260.0,0.525998087234497
265.0,0.5299042981719971
270.0,0.5211153235626221
275.0,0.5113497962188721
280.0,0.5015842688751221
285.0,0.4952366761016846
290.0,0.4849828723907471
295.0,0.4776587268829346
300.0,0.4698463050079345
305.0,0.4620338831329346
310.0,0.4534890467071533
315.0,0.4466531775665284
320.0,0.4395731702423096
325.0,0.4317607483673096
330.0,0.4237041883087158
335.0,0.4166241809844971
340.0,0.4105207263946533
345.0,0.4036848572540283
350.0,0.3963607117462158
355.0,0.3895248426055909
360.0,0.3822006970977783
365.0,0.3760972425079345
370.0,0.3693834424591065
375.0,0.3627917115020752
380.0,0.356199980545044
385.0,0.3500965259552001
390.0,0.3444203131866454
395.0,0.3384999622344971
400.0,0.332640645828247
405.0,0.3267813294219971
410.0,0.3215933930206299
415.0,0.3161613184356689
420.0,0.3110649338531493
425.0,0.3063347565460205
430.0,0.3015740619659424
435.0,0.2973626782989501
440.0,0.2929987082672118
445.0,0.2884821518707275
450.0,0.2836909400177002
455.0,0.2802119709014893
460.0,0.276122656326294
465.0,0.2721859281158447
470.0,0.2682491999053955
475.0,0.2648007480621338
480.0,0.2616574689483641
485.0,0.2575986716461181
490.0,0.2547605652618407
495.0,0.2513731479644775
500.0,0.2484129724884033
505.0,0.2447814170074462
510.0,0.2447814170074462
515.0,0.2421111556243896
520.0,0.2394408942413329
525.0,0.2362518392181395
530.0,0.2340698542022705
535.0,0.2313690755462646
540.0,0.2292328664398192
545.0,0.2265778636932372
550.0,0.225219845046997
555.0,0.2241059645843505
560.0,0.2234040673065185
565.0,0.2218476863861083
570.0,0.2216340654754638
575.0,0.2207490645599364
580.0,0.2209016509246825
585.0,0.2206269954681396
590.0,0.220962685470581
595.0,0.2210847545623779
600.0,0.2215730309295653
605.0,0.2224275145721435
610.0,0.2233430327606201
615.0,0.2241364818572997
620.0,0.2255402764129637
625.0,0.2267609673309326
630.0,0.2279206237030029
635.0,0.2295685564422607
640.0,0.2309723509979248
645.0,0.2325592491912841
650.0,0.2341461473846435
655.0,0.235610976486206
660.0,0.2370758055877684
680.0,0.2447661583709716
685.0,0.2459868492889403
690.0,0.2479399547576903
695.0,0.2508696129608153
700.0,0.2520903038787841
